sample	acc	study	study_title	contact_name	contact_email	country	site	collection_date	sample_prep	bases	bases_mapped	bases_duplicated	avg_read_length	mean_base_quality	bases_of_1X_coverage	bases_of_5X_coverage	bases_of_10X_coverage	bases_of_50X_coverage	mean_coverage	mean_fragment_size	sd_fragment_size	%callable
PA0007-C	ERS010116	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2084040899	2002872367	859315087	75	23.2	22925304	20607683	17717393	9323097	77.03	328.9	144.7	76.94
PA0008-C	ERS010126	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2540709087	2467552323	461921509	75	23.9	23280178	23094690	22558802	15064542	101.12	343.3	72.5	89.33
PA0011-C	ERS010043	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3719467019	3587824835	173365999	75	25.8	23129884	23029563	22958094	22173814	153.9	249.7	45	89.56
PA0012-C	ERS010127	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2916802324	2353658816	215641790	75	24.5	23132891	22693392	21831039	15347174	98.86	252.8	87.6	88.55
PA0015-C	ERS010044	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4239218388	4046084756	214171152	75	25.8	23174152	23078327	23021067	22518916	173.78	254.9	47.5	89.57
PA0016-C	ERS010045	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4009495448	3907011880	179056319	75	25.3	23223236	23154939	23102110	22474754	166.43	257.1	43	89.94
PA0017-C	ERS010128	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			5169257240	4680804480	348086882	75	25.2	23177898	23063940	22857044	19377677	195.89	250.5	88.8	89.93
PA0018-C	ERS010046	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4274578903	4157483879	236448494	75	26.1	23214511	23144921	23093955	22612196	178.18	257.4	45.9	89.73
PA0020-C	ERS010047	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3934437173	3842034093	245297798	75	26.3	23206722	23108687	23041641	22525570	164.89	247.9	51.6	89.77
PA0021-C	ERS010048	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3102556814	3039194550	233432057	75	26.1	23260805	23196647	23140550	22468902	130.15	267	50.5	90.22
PA0022-C	ERS010129	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2013717064	1912142304	387798863	75	24	22976832	21425852	19215372	11243927	76.84	349.9	176.3	82.36
PA0026-C	ERS011006	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			277736440	246098248	13718836	75	24.5	22611775	19081599	12055829	71024	10.88	236.7	46.6	73.22
PA0027-C	ERS010049	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3091736634	3045892674	216350353	75	26.2	23256336	23184187	23117754	22441927	130.39	260.4	49.7	90.33
PA0029-C	ERS010038	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3763060557	3614143421	175299964	75	25.7	23198917	23107729	23046676	22514211	154.86	260.6	45.8	89.95
PA0030-C	ERS009726	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4485567727	4310845323	288178888	75	24.1	23315567	23294064	23269091	22874768	181.48	269.4	78.6	89.81
PA0032-C	ERS010130	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			5143680284	4445919420	351419267	75	24.8	23168066	23003161	22691132	18733772	187.54	256	82.5	89.56
PA0034-C	ERS010117	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2907348523	2102190159	429102695	75	24.4	23151072	22736489	21830655	14814161	83.94	241.3	87.8	88.63
PA0035-C	ERS010039	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			9635200069	9172029469	697322829	75	25.6	23194319	23115345	23069544	22860152	388.83	266.4	42.2	89.91
PA0036-C	ERS010040	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			3233004662	3126479338	164884111	75	25.2	23190818	23073368	23006119	22150748	133.96	249.7	39.4	89.72
PA0037-C	ERS010041	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4737955122	4417541402	326585086	75	25	23177748	23086244	23027830	22528194	188.82	264.1	37.8	89.56
PA0038-C	ERS009729	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4571347657	4430113817	226075145	75	25.2	23181015	23103683	23045078	22457841	188.93	301.8	77.3	89.5
PA0039-C	ERS009966	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			4133065393	3881021121	279536016	75	25.1	23243158	23111263	22802596	17940352	161.6	226.7	76.7	89.48
PA0040-C	ERS010118	1006	Genome-wide analysis of genetic variation in the Gambia	Alfred Amambua-Ngwa	angwa@mrc.gm	The Gambia	GM_Coastal			2328343506	2227921210	286211154	75	23.9	23185195	22855363	21886254	13043122	91.08	307.7	66.7	88.23
