sample	acc	3D7	Dd2	HB3	7G8
PG0389-C	ERS319116	90	10	0	0
PG0390-C	ERS319119	80	20	0	0
PG0391-C	ERS319122	67	33	0	0
PG0392-C	ERS319125	33	67	0	0
PG0393-C	ERS319128	20	80	0	0
PG0394-C	ERS319130	10	90	0	0
PG0395-C	ERS319132	0	33.3	33.3	33.3
PG0396-C	ERS319134	0	25	25	50
PG0397-C	ERS319136	0	14.3	14.3	71.4
PG0398-C	ERS319138	0	0	100	0
PG0399-C	ERS319140	0	0	99	1
PG0400-C	ERS319142	0	0	95	5
PG0401-C	ERS319117	0	0	90	10
PG0402-C	ERS319120	0	0	85	15
PG0403-C	ERS319123	0	0	80	20
PG0404-C	ERS319126	0	0	75	25
PG0405-C	ERS319129	0	0	70	30
PG0406-C	ERS319131	0	0	60	40
PG0407-C	ERS319133	0	0	50	50
PG0408-C	ERS319135	0	0	40	60
PG0409-C	ERS319137	0	0	30	70
PG0410-C	ERS319139	0	0	25	75
PG0411-C	ERS319141	0	0	20	80
PG0412-C	ERS319143	0	0	15	85
PG0413-C	ERS319121	0	0	5	95
PG0414-C	ERS319124	0	0	1	99
PG0415-C	ERS319127	0	0	0	100
